"","Food","Service","Value","Atmosphere","Overall"
"2146",5,4,4,5,5
"2148",5,5,5,5,5
"2150",5,5,5,5,5
"2151",5,2,5,5,5
"2154",5,5,5,5,5
"2155",5,5,5,5,5
"2156",5,5,5,5,5
"2157",5,5,5,3,5
"2158",5,5,5,5,5
"2167",5,5,5,4,5
"2170",5,5,4,5,5
"2173",5,5,4,4,5
"2174",5,5,5,5,5
"2177",5,4,5,5,5
"2178",5,4,5,1,5
"2181",5,5,5,5,5
"2182",5,5,5,5,5
"2185",5,5,5,4,5
"2186",5,5,4,5,5
"2195",5,5,4,5,5
"2198",5,5,5,3,5
"2200",5,5,5,5,5
"2201",5,5,5,5,5
"2202",5,5,5,5,5
"2204",5,5,5,4,5
"2205",5,5,5,5,5
"2207",5,5,4,4,5
"2208",5,5,5,5,5
"2209",5,5,4,4,5
"2210",5,5,5,4,5
"2211",5,5,5,5,5
"2212",5,5,4,5,5
"2213",5,5,5,4,5
"2215",5,5,5,5,5
"2216",4,5,5,5,5
"2218",5,4,5,4,5
"2220",5,3,5,4,5
"2227",5,4,5,4,5
"2230",5,5,5,4,5
"2232",5,5,5,5,5
"2233",5,5,5,5,5
"2237",5,5,5,5,5
"2239",5,5,5,4,5
"2240",5,5,5,5,5
"2241",2,3,3,5,5
"2245",4,5,5,4,5
"2251",5,5,5,5,5
"2253",5,5,5,4,5
"2256",5,4,5,3,5
"2258",5,4,5,5,5
"2262",5,4,4,5,5
"2264",5,5,5,4,5
"2265",5,5,5,5,5
"2266",5,5,5,5,5
"2267",5,5,4,5,5
"2270",5,5,5,5,5
"2272",5,5,5,5,5
"2273",5,5,4,5,5
"2275",5,5,5,5,5
"2281",4,5,4,5,5
"2283",5,5,5,4,5
"2289",5,5,5,4,5
"2292",5,5,5,5,5
"2293",4,5,5,4,5
"2294",5,5,5,5,5
"2295",5,4,5,4,5
"2298",5,4,4,4,5
"2301",5,5,5,5,5
"2302",5,5,5,2,5
"2303",5,5,5,1,5
"2304",5,5,5,2,5
"2305",5,3,5,3,5
"2307",5,3,5,4,5
"2309",5,5,5,5,5
"2310",5,5,5,5,5
"2311",5,4,5,4,5
"2312",5,5,5,5,5
"2314",5,5,5,5,5
"2315",5,5,5,5,5
"2318",5,5,5,5,5
"2319",5,5,5,5,5
"2320",5,4,5,4,5
"2321",5,5,4,3,5
"2322",5,5,5,5,5
"2323",5,5,5,5,5
"2324",5,5,5,5,5
"2326",5,5,5,5,5
"2331",5,5,5,5,5
"2332",5,4,4,5,5
"2334",5,5,4,5,5
"2335",5,5,5,5,5
"2336",5,5,5,5,5
"2337",5,5,4,5,5
"2339",5,5,5,5,5
"2343",5,5,5,4,5
"2347",5,5,5,5,5
"2350",5,4,4,5,5
"2352",5,5,5,4,5
"2353",5,5,5,4,5
"2354",5,3,4,5,5
"2356",5,4,3,4,5
"2357",5,3,4,5,5
"2361",5,5,5,5,5
"2363",5,5,5,5,5
"2364",5,5,5,5,5
"2365",5,5,5,5,5
"2366",4,5,4,5,5
"2368",5,5,5,5,5
"2369",5,5,5,5,5
"2370",5,5,5,5,5
"2371",5,4,5,5,5
"2372",5,5,5,5,5
"2374",5,5,4,5,5
"2375",5,5,4,5,5
"2376",5,5,4,3,5
"2378",5,5,4,5,5
"2384",5,5,5,5,5
"2385",5,5,5,5,5
"2386",5,5,5,5,5
"2389",5,5,5,5,5
"2394",5,5,5,4,5
"2396",5,5,5,5,5
"2397",5,5,5,5,5
"2398",5,5,4,5,5
"2399",5,4,4,5,5
"2401",5,5,4,5,5
"2411",5,5,5,5,5
"2413",5,5,5,5,5
"2414",5,5,5,5,5
"2415",5,5,5,5,5
"2423",5,5,4,5,5
"2424",5,4,5,5,5
"2425",5,5,5,5,5
"2429",5,5,5,5,5
"2430",5,5,4,4,5
"2432",5,5,5,5,5
"2433",5,4,5,5,5
"2434",5,4,5,4,5
"2435",5,4,5,4,5
"2436",5,5,4,4,5
"2437",5,5,5,5,5
"2439",5,5,5,5,5
"2440",5,5,4,4,5
"2441",5,5,4,4,5
"2443",5,5,5,5,5
"2448",5,5,5,5,5
"2449",5,5,4,5,5
"2454",5,5,5,3,5
"2455",5,5,5,3,5
"2457",5,5,5,5,5
"2458",5,5,4,4,5
"2461",5,5,5,5,5
"2462",5,5,5,5,5
"2464",5,4,5,5,5
"2467",5,5,5,4,5
"2468",4,5,3,5,5
"2469",5,5,4,4,5
"2472",5,5,4,5,5
"2475",5,5,5,5,5
"2478",5,5,5,4,5
"2483",5,4,5,5,5
"2487",5,5,5,5,5
"2490",5,5,5,5,5
"2491",5,5,4,4,5
"2496",5,5,4,5,5
"2497",5,5,4,4,5
"2498",5,5,4,5,5
"2499",5,5,5,5,5
"2500",5,5,5,5,5
"2505",5,4,4,4,5
"2506",5,5,5,5,5
"2517",5,5,5,5,5
"2518",5,5,5,5,5
"2521",4,4,5,5,5
"2525",5,5,5,5,5
"2527",5,4,4,5,5
"2535",5,5,5,5,5
"2543",5,4,5,5,5
"2544",4,5,5,4,5
"2546",5,5,5,5,5
"2548",5,4,4,5,5
"2550",5,5,5,5,5
"2552",5,5,5,4,5
"2555",5,5,5,4,5
"2556",5,5,5,4,5
"2562",5,5,4,4,5
"2564",5,5,5,4,5
"2565",5,5,5,4,5
"2569",5,5,5,5,5
"2571",5,5,5,4,5
"2572",5,5,5,4,5
"2573",5,5,5,4,5
"2574",5,4,5,5,5
"2575",5,5,5,5,5
"2576",5,5,5,4,5
"2580",5,5,3,4,5
"2583",5,5,4,5,5
"2585",5,5,5,5,5
"2586",4,5,5,5,5
"2588",5,1,4,3,5
"2589",5,5,5,5,5
"2591",5,5,4,5,5
"2594",5,5,5,4,5
"2595",5,5,5,5,5
"2599",5,4,5,4,5
"2602",5,5,5,5,5
"2603",5,5,5,5,5
"2604",4,5,5,5,5
"2605",5,5,5,5,5
"2608",5,5,5,5,5
"2610",5,5,4,4,5
"2612",5,5,5,4,5
"2615",4,5,4,5,5
"2619",5,5,5,5,5
"2620",5,5,5,5,5
"2621",5,5,5,5,5
"2622",5,4,5,5,5
"2623",5,4,5,4,5
"2624",5,5,5,2,5
"2625",5,5,5,3,5
"2627",4,5,4,5,5
"2628",5,5,4,5,5
"2632",5,5,5,5,5
"2633",5,5,4,5,5
"2634",5,5,5,4,5
"2636",5,5,5,5,5
"2637",5,5,4,5,5
"2638",5,5,5,4,5
"2639",5,4,4,5,5
"2645",5,5,5,4,5
"2648",5,5,5,4,5
"2649",5,5,4,5,5
"2652",5,5,5,5,5
"2653",5,4,5,5,5
"2654",5,4,5,5,5
"2658",5,4,5,5,5
"2662",5,5,5,5,5
"2663",5,5,5,5,5
"2664",5,5,5,4,5
"2667",5,5,5,5,5
"2668",5,4,5,4,5
"2669",5,4,4,5,5
"2671",5,5,4,5,5
"2674",5,5,4,4,5
"2675",5,4,4,4,5
"2677",5,5,5,5,5
"2678",4,3,5,4,5
"2682",5,4,5,4,5
"2684",4,5,5,4,5
"2686",5,5,5,4,5
"2687",5,4,5,5,5
"2688",5,4,4,5,5
"2689",5,5,5,5,5
"2690",5,5,5,5,5
"2691",5,5,5,5,5
"2694",5,5,5,5,5
"2695",5,5,5,5,5
"2696",5,5,5,5,5
"2699",5,5,5,5,5
"2702",5,5,5,5,5
"2705",5,5,4,4,5
"2708",4,4,4,5,5
"2715",5,4,4,5,5
"2716",5,5,0,5,5
"2717",5,5,5,5,5
"2722",5,4,5,4,5
"2723",5,4,5,3,5
"2726",5,5,5,5,5
"2727",5,5,5,5,5
"2728",5,5,5,5,5
"2729",5,5,5,5,5
"2730",5,4,4,5,5
"2732",5,5,5,5,5
"2737",5,5,5,5,5
"2742",5,5,3,5,5
"2746",5,5,5,5,5
"2755",5,5,3,4,5
"2757",5,5,5,5,5
"2758",4,4,5,5,5
"2759",5,5,4,5,5
"2761",5,5,5,5,5
"2764",5,5,5,5,5
"2765",5,4,4,5,5
"2767",5,5,5,5,5
"2769",5,5,5,5,5
"2770",5,5,4,5,5
"2771",5,5,4,5,5
"2773",5,5,4,5,5
"2775",5,5,4,4,5
"2778",5,5,5,5,5
"2780",5,5,5,4,5
"2781",5,5,5,5,5
"2782",5,5,5,5,5
"2785",5,4,5,5,5
"2787",5,5,5,5,5
"2800",5,5,5,5,5
"2801",5,5,5,5,5
"2802",5,5,5,5,5
"2804",5,4,4,5,5
"2806",5,5,5,5,5
"2807",5,5,5,5,5
"2808",5,5,5,5,5
"2809",5,5,5,5,5
"2810",5,5,5,5,5
"2811",5,5,5,5,5
"2813",5,5,4,4,5
"2815",5,4,5,5,5
"2817",5,5,5,3,5
"2818",5,5,5,4,5
"2822",5,5,5,4,5
"2824",5,5,5,4,5
"2826",5,5,4,5,5
"2829",5,5,5,5,5
"2830",5,5,5,5,5
"2831",4,5,3,5,5
"2836",5,5,5,5,5
"2838",5,5,5,5,5
"2839",5,5,5,5,5
"2841",5,5,4,5,5
"2843",5,5,5,4,5
"2844",5,4,5,5,5
"2846",5,5,4,4,5
"2849",5,4,5,3,5
"2850",5,5,5,5,5
"2852",5,5,4,4,5
"2859",5,5,5,3,5
"2864",5,5,5,5,5
"2867",5,5,5,5,5
"2869",5,5,5,5,5
"2870",5,5,5,5,5
"2871",4,5,5,5,5
"2872",5,5,5,5,5
"2873",5,5,5,5,5
"2876",5,5,5,5,5
"2879",5,4,5,4,5
"2880",5,5,5,5,5
"2882",5,5,5,5,5
"2889",5,5,5,5,5
"2893",5,5,5,5,5
"2895",5,5,5,4,5
"2899",5,5,5,5,5
"2902",5,5,5,4,5
"2903",5,4,4,4,5
"2904",5,5,5,4,5
"2905",4,5,5,3,5
"2906",5,5,5,5,5
"2908",4,5,4,5,5
"2917",3,5,5,5,5
"2921",5,5,4,4,5
"2922",5,4,5,5,5
"2924",5,5,5,3,5
"2925",5,5,5,5,5
"2927",5,5,5,5,5
"2929",5,5,3,3,5
"2931",5,5,5,5,5
"2932",5,4,3,4,5
"2934",4,5,4,5,5
"2936",5,5,5,5,5
"2939",5,5,4,3,5
"2943",5,5,5,5,5
"2945",5,5,5,5,5
"2948",3,5,5,5,5
"2949",5,5,5,5,5
"2951",5,5,5,4,5
"2952",5,5,5,4,5
"2954",5,5,5,5,5
"2955",5,5,4,5,5
"2960",5,5,5,5,5
"2963",5,5,5,5,5
"2967",5,5,5,5,5
"2968",5,5,4,5,5
"2969",5,5,5,5,5
"2972",5,4,5,5,5
"2974",5,5,5,5,5
"2976",5,5,5,5,5
"2980",5,5,5,5,5
"2982",5,5,5,5,5
"2983",5,5,5,5,5
"2984",5,5,5,5,5
"2985",5,5,5,5,5
"2987",5,5,5,5,5
"2991",5,4,5,4,5
"2992",5,5,5,5,5
"2994",5,5,5,5,5
"2995",5,5,5,5,5
"2996",5,5,5,5,5
"3001",5,4,5,5,5
"3002",5,4,5,5,5
"3005",5,5,5,5,5
"3007",5,5,5,5,5
"3008",5,5,5,5,5
"3009",5,4,5,4,5
"3010",5,5,4,5,5
"3013",5,5,5,5,5
"3015",5,4,4,5,5
"3016",5,5,4,5,5
"3017",5,5,5,5,5
"3018",5,5,5,5,5
"3019",5,5,5,5,5
"3022",5,5,4,4,5
"3025",5,5,5,5,5
"3027",5,5,3,5,5
"3028",5,5,5,5,5
"3030",5,4,5,4,5
"3035",5,5,5,5,5
"3038",5,5,5,5,5
"3045",5,5,5,5,5
"3046",5,5,5,5,5
"3047",5,5,5,5,5
"3049",5,4,5,5,5
"3050",5,5,4,4,5
"3051",5,5,4,5,5
"3055",5,5,5,5,5
"3056",5,5,5,5,5
"3057",5,5,5,5,5
"3058",5,5,5,5,5
"3059",5,5,5,5,5
"3060",5,5,5,3,5
"3061",5,5,5,4,5
"3062",5,5,5,5,5
"3063",5,5,5,5,5
"3064",5,5,5,4,5
"3065",5,4,5,5,5
"3067",5,3,5,4,5
"3068",5,5,4,4,5
"3069",5,5,3,4,5
"3071",5,5,4,4,5
"3072",5,5,5,5,5
"3074",5,5,5,5,5
"3077",5,4,5,4,5
"3078",5,5,5,4,5
"3080",5,5,5,5,5
"3081",5,5,5,5,5
"3082",5,5,5,5,5
"3083",5,5,5,5,5
"3084",5,5,5,5,5
"3085",5,5,5,5,5
"3086",5,5,5,5,5
"3095",4,5,4,5,5
"3097",5,5,5,5,5
"3099",5,5,5,4,5
"3100",5,5,5,5,5
"3101",5,5,5,4,5
"3102",5,5,5,5,5
"3103",5,5,5,5,5
"3104",5,5,5,5,5
"3106",5,4,5,4,5
"3107",5,4,5,4,5
"3111",5,5,5,5,5
"3112",5,5,5,5,5
"3113",5,5,5,5,5
"3114",5,5,5,5,5
"3116",5,5,5,4,5
"3118",5,5,5,5,5
"3119",5,5,5,5,5
"3120",5,5,5,5,5
"3121",5,5,5,5,5
"3122",5,4,5,5,5
"3126",5,3,4,5,5
"3127",5,5,5,4,5
"3128",5,5,5,5,5
"3129",5,5,5,5,5
"3130",5,5,5,5,5
"3132",5,5,5,5,5
"3133",5,5,5,5,5
"3134",5,3,4,4,5
"3136",5,5,5,4,5
"3137",5,5,5,5,5
"3139",5,5,5,5,5
"3140",5,5,5,5,5
"3143",5,5,5,5,5
"3145",5,5,5,5,5
"3148",5,5,4,5,5
"3151",5,5,5,5,5
"3152",5,5,5,5,5
"3155",5,5,5,5,5
"3156",5,5,5,4,5
"3157",5,5,5,5,5
"3158",5,5,5,5,5
"3160",5,5,5,5,5
"3162",5,5,5,5,5
"3165",5,4,5,5,5
"3167",5,5,4,4,5
"3172",5,5,5,5,5
"3174",5,5,5,5,5
"3176",5,5,4,5,5
"3178",5,5,5,5,5
"3179",5,5,5,5,5
"3180",5,4,3,5,5
"3181",5,5,4,4,5
"3182",5,5,5,4,5
"3184",5,5,5,5,5
"3185",5,5,5,5,5
"3186",5,3,5,4,5
"3188",5,4,5,5,5
"3189",5,5,5,5,5
"3191",5,5,5,5,5
"3192",5,5,5,5,5
"3193",5,5,5,3,5
"3194",5,5,4,5,5
"3195",5,4,4,5,5
"3197",5,5,5,5,5
"3204",5,5,5,5,5
"3205",5,5,5,5,5
"3206",5,5,5,5,5
"3208",4,5,4,4,5
"3210",5,5,5,5,5
"3211",5,5,4,5,5
"3212",5,4,5,5,5
"3213",5,5,5,5,5
"3215",5,5,5,5,5
"3216",5,5,5,5,5
"3218",5,5,5,5,5
"3219",5,5,4,5,5
"3220",5,5,5,5,5
"3225",5,5,4,5,5
"3226",5,5,4,5,5
"3228",5,5,5,5,5
"3229",5,5,5,5,5
"3231",5,5,5,4,5
"3235",5,5,5,5,5
"3237",5,5,3,5,5
"3239",5,5,5,5,5
"3240",5,5,5,5,5
"3244",5,5,5,5,5
"3245",5,5,5,5,5
"3250",5,5,4,4,5
"3251",5,5,5,5,5
"3252",5,5,5,5,5
"3253",5,5,5,5,5
"3256",5,5,5,5,5
"3257",5,5,5,5,5
"3258",5,4,5,5,5
"3260",5,5,5,4,5
"3261",5,5,4,5,5
"3263",5,5,5,4,5
"3264",5,5,5,5,5
"3265",5,3,5,3,5
"3266",5,4,4,5,5
"3271",5,5,5,5,5
"3277",5,5,5,5,5
"3279",5,5,5,5,5
"3284",5,4,5,4,5
"3285",5,5,4,5,5
"3286",5,5,4,2,5
"3288",5,5,5,5,5
"3289",5,5,5,5,5
"3290",5,5,5,5,5
"3291",4,5,5,4,5
"3293",4,5,5,5,5
"3297",5,5,5,5,5
"3300",5,5,5,5,5
"3303",5,5,4,5,5
"3305",4,5,5,5,5
"3306",4,5,5,5,5
"3308",5,5,4,4,5
"3311",5,5,5,5,5
"3314",5,5,5,5,5
"3316",5,5,5,5,5
"3317",5,5,5,5,5
"3319",5,5,4,4,5
"3320",3,5,3,5,5
"3321",5,5,4,5,5
"3322",5,5,5,5,5
"3324",5,5,5,4,5
"3333",5,5,5,5,5
"3334",5,5,5,5,5
"3335",5,5,5,4,5
"3341",5,5,5,5,5
"3343",5,5,3,5,5
"3344",5,4,5,5,5
"3348",5,5,5,5,5
"3349",5,5,5,5,5
"3350",5,5,5,5,5
"3351",5,5,5,3,5
"3352",5,5,5,4,5
"3353",5,5,5,4,5
"3358",5,5,5,5,5
"3359",5,5,5,5,5
"3360",5,5,5,5,5
"3362",5,5,5,4,5
"3363",5,5,5,5,5
"3365",5,5,5,5,5
"3366",5,5,4,5,5
"3368",5,5,5,5,5
"3369",5,5,5,5,5
"3370",5,4,5,5,5
"3371",4,4,5,5,5
"3374",5,5,5,5,5
"3375",5,5,5,5,5
"3377",5,5,5,5,5
"3381",5,5,5,5,5
"3383",5,3,5,3,5
"3385",5,5,5,5,5
"3386",5,5,5,5,5
"3387",5,5,5,4,5
"3388",5,5,5,5,5
"3389",5,5,5,5,5
"3390",5,5,5,5,5
"3391",5,4,4,4,5
"3392",5,5,5,5,5
"3397",5,5,5,5,5
"3398",5,5,5,5,5
"3399",5,5,5,5,5
"3400",5,5,5,5,5
"3402",5,4,5,5,5
"3403",5,5,5,5,5
"3405",5,5,4,5,5
"3407",5,4,5,5,5
"3408",5,5,5,5,5
"3412",5,5,2,5,5
"3415",5,5,5,5,5
"3417",5,4,5,5,5
"3418",5,5,5,5,5
"3419",5,5,5,5,5
"3420",5,5,5,5,5
"3421",5,5,4,5,5
"3423",4,5,5,4,5
"3425",5,5,5,3,5
"3426",5,5,5,4,5
"3429",5,5,5,5,5
"3430",5,5,5,5,5
"3431",5,5,5,4,5
"3432",5,5,5,4,5
"3433",5,5,5,5,5
"3434",5,5,4,4,5
"3438",5,5,5,5,5
"3439",5,4,5,4,5
"3441",5,5,5,5,5
"3442",5,5,5,5,5
"3443",5,5,5,5,5
"3444",5,5,4,4,5
"3445",5,5,5,5,5
"3447",5,5,3,5,5
"3454",5,5,5,5,5
"3456",5,5,5,5,5
"3457",5,2,5,3,5
"3459",5,5,5,5,5
"3463",5,5,5,5,5
"3465",5,5,5,4,5
"3468",5,5,5,5,5
"3469",5,5,5,5,5
"3471",5,5,5,5,5
"3478",4,5,5,5,5
"3483",5,5,5,5,5
"3486",4,4,5,5,5
"3488",5,5,0,0,5
"3490",5,5,4,5,5
"3491",5,5,5,5,5
"3492",5,5,5,5,5
"3501",5,5,5,5,5
"3502",5,5,5,4,5
"3504",5,5,5,5,5
"3505",5,5,4,5,5
"3507",5,4,5,5,5
"3508",5,5,5,4,5
"3514",5,5,5,5,5
"3515",5,5,5,5,5
"3516",5,5,4,5,5
"3517",5,4,5,4,5
"3518",5,5,4,4,5
"3522",5,5,5,5,5
"3523",5,5,5,5,5
"3524",5,5,5,5,5
"3525",5,5,5,5,5
"3526",5,5,5,5,5
"3530",5,5,5,5,5
"3532",5,5,4,5,5
"3533",5,5,5,5,5
"3535",5,5,4,5,5
"3537",4,5,3,5,5
"3539",5,5,5,5,5
"3541",5,5,5,5,5
"3542",5,5,5,5,5
"3543",5,5,5,5,5
"3544",5,5,5,5,5
"3545",5,5,5,5,5
"3546",5,5,5,5,5
"3547",1,4,2,3,5
"3548",5,5,5,5,5
"3551",5,5,5,5,5
"3552",5,5,5,5,5
"3553",5,5,5,5,5
"3554",5,4,3,5,5
"3555",5,5,5,5,5
"3557",5,5,5,5,5
"3558",4,5,4,4,5
"3560",5,5,5,4,5
"3561",5,5,5,5,5
"3562",5,5,5,4,5
"3564",5,5,5,5,5
"3565",5,5,5,4,5
"3566",5,5,5,5,5
"3567",5,5,5,5,5
"3568",5,4,5,4,5
"3569",5,5,5,4,5
"3570",5,5,5,4,5
"3571",5,5,5,5,5
"3572",5,5,5,5,5
"3576",5,5,5,5,5
"3577",5,5,4,5,5
"3578",5,5,5,5,5
"3583",5,5,4,5,5
"3588",5,4,5,4,5
"3589",5,5,5,4,5
"3590",5,5,4,5,5
"3591",5,5,5,5,5
"3592",5,5,5,5,5
"3593",5,5,5,4,5
"3594",5,5,5,5,5
"3596",5,5,4,5,5
"3597",5,5,5,5,5
"3598",5,5,5,5,5
"3599",5,5,4,5,5
"3603",5,5,4,3,5
"3605",5,4,4,5,5
"3607",5,5,4,4,5
"3612",4,5,5,5,5
"3621",5,5,5,5,5
"3622",5,5,5,5,5
"3627",4,5,3,5,5
"3628",5,5,5,5,5
"3629",5,5,4,5,5
"3632",5,5,5,5,5
"3633",5,5,5,5,5
"3634",5,5,5,5,5
"3639",5,5,4,4,5
"3640",5,5,5,5,5
"3641",5,4,5,5,5
"3642",5,5,5,5,5
"3643",5,5,5,5,5
"3644",5,5,5,5,5
"3647",5,5,5,5,5
"3653",5,5,5,5,5
"3656",5,5,5,0,5
"3657",5,5,5,5,5
"3658",5,5,4,4,5
"3659",5,5,4,4,5
"3660",5,4,5,4,5
"3663",5,5,5,4,5
"3667",5,5,5,5,5
"3668",5,5,5,5,5
"3669",5,5,5,5,5
"3670",5,4,5,4,5
"3672",5,5,5,5,5
"3673",5,5,5,5,5
"3674",5,5,5,4,5
"3676",5,5,5,4,5
"3678",5,5,4,5,5
"3685",5,5,5,5,5
"3686",5,5,5,5,5
"3687",5,5,5,5,5
"3688",5,5,5,5,5
"3689",5,5,5,5,5
"3690",5,5,5,5,5
"3693",5,5,5,5,5
"3695",5,5,5,5,5
"3697",5,4,4,4,5
"3699",5,5,5,5,5
"3704",5,5,5,5,5
"3707",5,4,5,4,5
"3708",5,5,4,5,5
"3711",5,5,5,5,5
"3712",5,5,5,5,5
"3715",5,5,5,4,5
"3716",5,5,5,4,5
"3717",5,5,5,1,5
"3718",5,5,5,2,5
"3719",5,4,5,5,5
"3721",5,5,5,2,5
"3723",5,5,5,5,5
"3724",5,5,5,5,5
"3725",5,5,5,5,5
"3730",5,5,5,5,5
"3736",5,5,5,5,5
"3738",5,4,5,4,5
"3742",5,5,5,5,5
"3743",5,5,5,3,5
"3744",5,5,4,5,5
"3746",5,4,5,5,5
"3748",5,5,4,5,5
"3750",5,5,5,5,5
"3757",5,5,5,5,5
"3758",5,5,5,5,5
"3759",5,5,3,4,5
"3763",5,4,2,5,5
"3765",5,5,5,4,5
"3767",5,4,4,5,5
"3768",5,5,5,5,5
"3769",5,5,4,5,5
"3771",5,5,5,5,5
"3772",5,5,5,5,5
"3773",5,5,5,5,5
"3781",5,5,5,5,5
"3782",5,4,4,5,5
"3785",5,5,5,5,5
"3787",5,5,5,5,5
"3788",5,5,5,5,5
"3789",5,5,5,5,5
"3791",5,5,5,5,5
"3792",5,5,5,5,5
"3793",5,5,5,4,5
"3794",5,4,5,5,5
"3795",5,5,4,5,5
"3796",5,5,5,5,5
"3797",5,5,4,5,5
"3799",5,4,5,5,5
"3800",5,4,4,4,5
"3802",5,5,5,5,5
"3805",5,5,4,5,5
"3807",5,5,4,5,5
"3810",5,5,5,5,5
"3811",5,5,5,5,5
"3813",5,5,4,5,5
"3815",4,5,5,5,5
"3816",5,5,5,5,5
"3818",5,4,5,4,5
"3819",5,5,5,4,5
"3825",5,5,5,5,5
"3828",5,5,4,4,5
"3829",5,5,5,5,5
"3830",5,5,5,5,5
"3831",5,5,5,5,5
"3832",5,5,5,3,5
"3833",4,5,4,5,5
"3834",5,5,4,4,5
"3837",5,5,5,5,5
"3838",5,5,5,2,5
"3839",5,5,5,5,5
"3840",5,5,5,5,5
"3841",5,5,5,5,5
"3842",5,5,5,5,5
"3844",5,5,5,5,5
"3845",5,5,5,5,5
"3846",5,3,3,5,5
"3847",5,5,4,4,5
"3853",5,5,5,5,5
"3856",5,5,5,5,5
"3857",4,5,5,4,5
"3858",5,5,5,5,5
"3861",5,5,5,5,5
"3862",5,5,5,5,5
"3863",5,5,5,5,5
"3865",5,5,5,5,5
"3866",5,5,5,4,5
"3868",5,5,5,5,5
"3869",5,4,5,5,5
"3873",5,5,5,5,5
"3880",5,5,5,5,5
"3881",5,5,4,5,5
"3882",5,5,5,5,5
"3884",5,5,5,5,5
"3886",5,5,5,4,5
"3890",5,5,5,3,5
"3891",5,5,5,5,5
"3893",5,5,5,5,5
"3896",5,5,4,5,5
"3897",5,5,4,5,5
"3898",5,5,4,5,5
"3902",5,5,5,5,5
"3904",5,5,5,5,5
"3905",5,5,5,5,5
"3906",5,4,5,4,5
"3909",5,5,5,5,5
"3910",5,5,5,4,5
"3911",5,5,5,5,5
"3914",5,5,5,5,5
"3918",5,5,5,5,5
"3919",5,5,5,5,5
"3921",5,4,5,5,5
"3922",5,5,5,5,5
"3923",5,5,5,5,5
"3925",5,5,5,5,5
"3926",5,5,5,5,5
"3928",5,5,5,5,5
"3932",5,5,4,4,5
"3933",5,5,5,5,5
"3936",5,5,5,5,5
"3937",5,5,5,5,5
"3943",5,5,5,5,5
"3944",5,5,5,5,5
"3945",5,5,5,5,5
"3950",5,4,4,4,5
"3951",5,3,5,4,5
"3953",5,5,5,5,5
"3955",5,5,5,5,5
"3961",5,5,5,5,5
"3963",5,5,5,3,5
"3964",5,4,4,5,5
"3965",5,5,5,5,5
"3971",5,5,5,5,5
"3972",5,4,5,4,5
"3975",5,5,4,5,5
"3976",5,4,5,5,5
"3977",5,5,5,5,5
"3978",5,5,5,5,5
"3979",5,5,5,4,5
"3980",5,5,5,5,5
"3981",5,5,5,5,5
"3983",5,5,5,5,5
"3987",5,5,5,5,5
"3988",5,5,5,5,5
"3991",5,5,5,5,5
"3993",5,4,5,5,5
"3994",5,5,5,5,5
"3995",5,5,5,5,5
"3997",5,5,4,5,5
"3999",5,5,4,5,5
"4002",5,5,5,5,5
"4006",5,5,5,5,5
"4009",5,5,5,4,5
"4011",5,5,5,5,5
"4015",5,5,5,5,5
"4018",5,4,5,5,5
"4020",5,5,4,5,5
"4027",5,4,5,5,5
"4029",5,5,5,5,5
"4031",5,5,5,5,5
"4032",5,5,5,5,5
"4033",5,5,5,0,5
"4034",5,5,4,5,5
"4035",5,5,5,5,5
"4037",5,4,4,5,5
"4048",5,5,5,3,5
"4053",5,5,5,5,5
"4054",5,4,5,5,5
"4056",5,5,5,5,5
"4060",5,5,5,5,5
"4061",5,5,5,5,5
"4067",5,5,5,5,5
"4072",4,4,5,5,5
"4073",5,5,5,5,5
"4075",5,5,5,5,5
"4079",5,5,5,5,5
"4080",4,4,4,5,5
"4081",4,4,4,5,5
"4085",5,4,5,5,5
"4087",5,5,5,5,5
"4091",5,5,5,5,5
"4095",5,5,5,3,5
"4096",5,5,5,5,5
"4097",5,5,5,5,5
"4102",5,5,5,5,5
"4103",5,5,5,4,5
"4104",5,4,4,5,5
"4115",5,5,5,5,5
"4120",5,5,5,5,5
"4126",5,5,5,4,5
"4127",5,5,5,5,5
"4128",5,4,5,3,5
"4129",5,5,5,5,5
"4130",5,5,5,5,5
"4131",5,0,5,5,5
"4132",5,5,5,5,5
"4134",5,5,5,5,5
"4136",5,5,5,5,5
"4138",5,5,5,5,5
"4140",5,5,5,5,5
"4142",5,5,5,5,5
"4145",4,5,5,5,5
"4147",5,4,5,5,5
"4148",5,4,5,5,5
"4149",5,4,5,5,5
"4152",5,5,5,5,5
"4157",5,5,5,5,5
"4158",5,5,5,5,5
"4159",5,4,4,5,5
"4164",5,5,5,5,5
"4165",5,5,5,5,5
"4166",5,5,5,5,5
"4167",5,5,5,5,5
"4168",5,5,5,5,5
"4169",5,4,5,5,5
"4176",5,5,5,5,5
"4177",5,5,5,4,5
"4180",5,5,4,5,5
"4181",5,5,5,5,5
"4182",5,5,5,5,5
"4186",5,5,5,5,5
"4189",5,5,5,5,5
"4193",5,4,5,5,5
"4195",5,5,5,5,5
"4197",5,5,5,5,5
"4198",5,5,5,5,5
"4199",5,5,5,5,5
"4201",5,5,5,5,5
"4202",5,5,4,5,5
"4204",5,5,5,5,5
"4206",5,5,5,5,5
"4207",5,5,5,5,5
"4209",5,5,5,5,5
"4212",5,5,5,5,5
"4213",5,5,5,5,5
"4214",5,5,5,5,5
"4215",5,5,5,5,5
"4216",5,5,5,5,5
"4217",5,4,4,4,5
"4219",5,5,5,5,5
